,station,month,day,year,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,date_string,date,aqi_PM10,aqi_PM2.5
11561,Shunyi,3,2,2013,130.0,136.0,70.0,90.0,2600.0,78.0,3.2,1033.7,-13.2,0.0,3.2,3-2-2013,2013-03-02,91.0,189.0
14363,Wanliu,3,2,2013,88.0,132.0,68.0,104.0,2200.0,34.0,3.9,1031.3,-12.3,0.0,3.1,3-2-2013,2013-03-02,89.0,168.0
241,Aotizhongxin,3,2,2013,93.0,120.0,87.0,110.0,1700.0,52.0,3.9,1031.3,-12.3,0.0,3.1,3-2-2013,2013-03-02,83.0,170.0
4472,Dongsi,3,2,2013,108.0,131.0,73.0,112.0,2600.0,62.0,4.3,1033.2,-14.5,0.0,3.1,3-2-2013,2013-03-02,89.0,178.0
12941,Tiantan,3,2,2013,98.0,106.0,52.0,79.0,2200.0,60.0,4.3,1033.2,-14.5,0.0,3.1,3-2-2013,2013-03-02,76.0,173.0
7245,Gucheng,3,2,2013,98.0,147.0,71.0,97.0,2600.0,65.0,3.8,1029.2,-11.5,0.0,2.2,3-2-2013,2013-03-02,97.0,173.0
15751,Wanshouxigong,3,2,2013,108.0,127.0,82.0,93.0,2100.0,57.0,4.2,1030.2,-10.9,0.0,2.1,3-2-2013,2013-03-02,87.0,178.0
3110,Dingling,3,2,2013,56.0,73.0,45.0,82.0,1200.0,75.0,3.0,1027.9,-13.3,0.0,3.0,3-2-2013,2013-03-02,60.0,151.0
1668,Changping,3,2,2013,72.0,83.0,68.0,87.0,2000.0,69.0,3.0,1027.9,-13.3,0.0,3.0,3-2-2013,2013-03-02,65.0,160.0
15755,Wanshouxigong,3,3,2013,150.0,242.0,88.0,120.0,3000.0,60.0,15.0,1019.4,-8.0,0.0,3.2,3-3-2013,2013-03-03,144.0,200.0
8673,Huairou,3,3,2013,103.0,154.0,133.0,74.0,1500.0,78.0,15.3,1017.0,-10.7,0.0,4.9,3-3-2013,2013-03-03,100.0,176.0
11565,Shunyi,3,3,2013,125.0,153.0,67.0,85.0,3500.0,72.0,15.9,1022.9,-8.3,0.0,4.7,3-3-2013,2013-03-03,100.0,187.0
5832,Guanyuan,3,3,2013,143.0,234.0,161.0,146.0,3200.0,78.0,16.9,1020.4,-10.1,0.0,5.9,3-3-2013,2013-03-03,140.0,196.0
3114,Dingling,3,3,2013,92.0,147.0,64.0,77.0,1500.0,86.0,17.0,1017.4,-11.4,0.0,5.4,3-3-2013,2013-03-03,97.0,170.0
12945,Tiantan,3,3,2013,142.0,207.0,103.0,110.0,2799.0,70.0,16.6,1022.3,-8.3,0.0,7.0,3-3-2013,2013-03-03,127.0,196.0
10118,Nongzhanguan,3,3,2013,149.0,227.0,102.0,151.0,3399.0,80.0,16.6,1022.3,-8.3,0.0,7.0,3-3-2013,2013-03-03,137.0,199.0
7249,Gucheng,3,3,2013,150.0,268.0,81.0,109.0,3799.0,80.0,16.6,1018.4,-9.0,0.0,4.4,3-3-2013,2013-03-03,157.0,200.0
4476,Dongsi,3,3,2013,152.0,274.0,102.0,136.0,3299.0,94.0,16.6,1022.3,-8.3,0.0,7.0,3-3-2013,2013-03-03,160.0,202.0
1672,Changping,3,3,2013,113.0,151.0,91.0,93.0,2399.0,82.0,17.0,1017.4,-11.4,0.0,5.4,3-3-2013,2013-03-03,99.0,181.0
245,Aotizhongxin,3,3,2013,117.0,181.0,135.0,135.0,2799.0,77.0,16.9,1020.4,-10.1,0.0,5.9,3-3-2013,2013-03-03,114.0,183.0
14367,Wanliu,3,3,2013,145.0,294.0,97.0,131.0,4400.0,53.0,16.9,1020.4,-10.1,0.0,5.9,3-3-2013,2013-03-03,170.0,197.0
12949,Tiantan,3,4,2013,58.0,79.0,37.0,84.0,4200.0,99.0,15.6,1022.6,-11.3,0.0,4.9,3-4-2013,2013-03-04,63.0,152.0
3118,Dingling,3,4,2013,60.0,80.0,22.0,46.0,1000.0,92.0,16.1,1017.6,-11.5,0.0,4.4,3-4-2013,2013-03-04,63.0,153.0
14371,Wanliu,3,4,2013,70.0,117.0,62.0,106.0,2399.0,60.0,15.3,1020.8,-9.3,0.0,4.3,3-4-2013,2013-03-04,82.0,158.0
7253,Gucheng,3,4,2013,83.0,156.0,70.0,82.0,2000.0,107.0,12.7,1018.7,-10.0,0.0,3.5,3-4-2013,2013-03-04,101.0,165.0
4480,Dongsi,3,4,2013,68.0,110.0,46.0,109.0,4000.0,102.0,15.6,1022.6,-11.3,0.0,4.9,3-4-2013,2013-03-04,78.0,157.0
11569,Shunyi,3,4,2013,72.0,103.0,35.0,107.0,1600.0,84.0,16.0,1023.5,-10.3,0.0,4.5,3-4-2013,2013-03-04,75.0,160.0
15759,Wanshouxigong,3,4,2013,76.0,111.0,52.0,88.0,2000.0,87.0,15.8,1019.8,-9.7,0.0,2.9,3-4-2013,2013-03-04,79.0,162.0
1676,Changping,3,4,2013,76.0,123.0,66.0,91.0,1500.0,95.0,16.1,1017.6,-11.5,0.0,4.7,3-4-2013,2013-03-04,85.0,162.0
8677,Huairou,3,4,2013,47.0,117.0,64.0,92.0,3299.0,91.0,13.9,1017.8,-11.6,0.0,5.3,3-4-2013,2013-03-04,82.0,129.0
10122,Nongzhanguan,3,4,2013,88.0,119.0,45.0,119.0,2899.0,92.0,15.6,1022.6,-11.3,0.0,4.9,3-4-2013,2013-03-04,83.0,168.0
5836,Guanyuan,3,4,2013,59.0,103.0,66.0,98.0,1700.0,95.0,15.3,1020.8,-9.3,0.0,4.3,3-4-2013,2013-03-04,75.0,153.0
249,Aotizhongxin,3,4,2013,58.0,94.0,51.0,86.0,1300.0,84.0,15.3,1020.8,-9.3,0.0,3.5,3-4-2013,2013-03-04,70.0,152.0
4484,Dongsi,3,5,2013,228.0,250.0,111.0,205.0,3200.0,102.0,13.8,1017.0,-2.6,0.0,2.1,3-5-2013,2013-03-05,148.0,278.0
3122,Dingling,3,5,2013,179.0,200.0,74.0,100.0,1899.0,92.0,14.1,1012.1,-6.9,0.0,1.9,3-5-2013,2013-03-05,123.0,229.0
15763,Wanshouxigong,3,5,2013,216.0,234.0,117.0,154.0,3399.0,87.0,15.9,1014.6,-5.4,0.0,2.7,3-5-2013,2013-03-05,140.0,266.0
253,Aotizhongxin,3,5,2013,226.0,269.0,147.0,204.0,4400.0,84.0,13.8,1015.2,-4.6,0.0,2.0,3-5-2013,2013-03-05,158.0,276.0
8681,Huairou,3,5,2013,200.0,243.0,82.0,150.0,2500.0,88.0,11.5,1006.0,-6.6,0.0,2.2,3-5-2013,2013-03-05,145.0,250.0
14375,Wanliu,3,5,2013,270.0,343.0,108.0,179.0,4799.0,60.0,13.8,1015.2,-4.6,0.0,2.0,3-5-2013,2013-03-05,195.0,320.0
1680,Changping,3,5,2013,191.0,210.0,81.0,127.0,2299.0,95.0,14.1,1012.1,-6.9,0.0,1.9,3-5-2013,2013-03-05,128.0,241.0
11573,Shunyi,3,5,2013,249.0,261.0,101.0,145.0,2799.0,84.0,13.7,1017.9,-4.1,0.0,1.7,3-5-2013,2013-03-05,154.0,299.0
7257,Gucheng,3,5,2013,111.0,159.0,83.0,87.0,4099.0,107.0,9.0,1013.3,-7.9,0.0,2.9,3-5-2013,2013-03-05,103.0,180.0
12953,Tiantan,3,5,2013,199.0,216.0,109.0,168.0,3399.0,99.0,13.8,1017.0,-2.6,0.0,2.1,3-5-2013,2013-03-05,131.0,249.0
5840,Guanyuan,3,5,2013,215.0,236.0,123.0,206.0,4200.0,95.0,13.8,1015.2,-4.6,0.0,2.0,3-5-2013,2013-03-05,141.0,265.0
10126,Nongzhanguan,3,5,2013,242.0,243.0,123.0,211.0,4299.0,92.0,13.8,1017.0,-2.6,0.0,2.1,3-5-2013,2013-03-05,145.0,292.0
4488,Dongsi,3,6,2013,248.0,293.0,133.0,187.0,4500.0,30.0,14.7,1011.0,-3.3,0.0,1.8,3-6-2013,2013-03-06,170.0,298.0
12957,Tiantan,3,6,2013,239.0,255.0,150.0,143.0,4099.0,94.0,14.7,1011.0,-3.3,0.0,1.8,3-6-2013,2013-03-06,151.0,289.0
14379,Wanliu,3,6,2013,266.0,332.0,141.0,158.0,4299.0,24.0,14.7,1009.3,-2.2,0.0,2.5,3-6-2013,2013-03-06,189.0,316.0
3126,Dingling,3,6,2013,306.0,351.0,98.0,144.0,3299.0,82.0,13.6,1006.2,-3.3,0.0,2.3,3-6-2013,2013-03-06,199.0,356.0
11577,Shunyi,3,6,2013,248.0,277.0,125.0,120.0,4500.0,61.0,13.1,1011.6,-2.6,0.0,2.2,3-6-2013,2013-03-06,162.0,298.0
1684,Changping,3,6,2013,339.0,394.0,142.0,160.0,5500.0,81.0,13.6,1006.2,-3.3,0.0,2.3,3-6-2013,2013-03-06,257.0,389.0
8685,Huairou,3,6,2013,288.0,354.0,127.0,150.0,4400.0,88.0,13.6,1006.3,-4.0,0.0,3.0,3-6-2013,2013-03-06,200.0,338.0
5844,Guanyuan,3,6,2013,244.0,277.0,158.0,188.0,4700.0,39.0,14.7,1009.3,-2.2,0.0,2.5,3-6-2013,2013-03-06,162.0,294.0
7261,Gucheng,3,6,2013,292.0,349.0,162.0,180.0,4799.0,26.0,14.6,1006.7,-2.6,0.0,1.6,3-6-2013,2013-03-06,198.0,342.0
10130,Nongzhanguan,3,6,2013,238.0,262.0,146.0,182.0,4099.0,48.0,14.7,1011.0,-3.3,0.0,1.8,3-6-2013,2013-03-06,154.0,288.0
257,Aotizhongxin,3,6,2013,284.0,396.0,154.0,177.0,4200.0,28.0,14.7,1009.3,-2.2,0.0,2.5,3-6-2013,2013-03-06,260.0,334.0
15767,Wanshouxigong,3,6,2013,254.0,293.0,146.0,148.0,4799.0,78.0,14.6,1008.2,-2.9,0.0,1.8,3-6-2013,2013-03-06,170.0,304.0
8689,Huairou,3,7,2013,371.0,553.0,144.0,205.0,4400.0,68.0,17.6,1004.6,-3.0,0.0,2.7,3-7-2013,2013-03-07,449.0,415.0
3130,Dingling,3,7,2013,258.0,294.0,107.0,182.0,3500.0,75.0,17.3,1004.2,-2.8,0.0,1.5,3-7-2013,2013-03-07,170.0,308.0
11581,Shunyi,3,7,2013,484.0,497.0,134.0,183.0,4900.0,98.0,18.1,1009.8,0.6,0.0,3.0,3-7-2013,2013-03-07,391.0,489.0
1688,Changping,3,7,2013,282.0,309.0,138.0,199.0,5099.0,65.0,17.3,1004.2,-2.8,0.0,1.8,3-7-2013,2013-03-07,178.0,332.0
14383,Wanliu,3,7,2013,399.0,506.0,146.0,176.0,8400.0,68.0,18.6,1007.1,-0.7,0.0,3.7,3-7-2013,2013-03-07,402.0,433.0
5848,Guanyuan,3,7,2013,369.0,414.0,145.0,270.0,6799.0,107.0,18.6,1007.1,-0.7,0.0,3.7,3-7-2013,2013-03-07,286.0,413.0
12961,Tiantan,3,7,2013,390.0,427.0,161.0,230.0,7700.0,107.0,19.5,1009.2,0.2,0.0,3.2,3-7-2013,2013-03-07,304.0,427.0
261,Aotizhongxin,3,7,2013,376.0,452.0,182.0,226.0,5700.0,84.0,18.6,1007.1,-0.7,0.0,3.7,3-7-2013,2013-03-07,335.0,418.0
4492,Dongsi,3,7,2013,520.0,585.0,134.0,258.0,6599.0,107.0,19.5,1009.2,0.2,0.0,3.2,3-7-2013,2013-03-07,481.0,501.0
15771,Wanshouxigong,3,7,2013,400.0,468.0,150.0,241.0,8599.0,94.0,18.8,1006.6,-0.6,0.0,2.4,3-7-2013,2013-03-07,355.0,434.0
7265,Gucheng,3,7,2013,318.0,427.0,168.0,240.0,7000.0,107.0,18.5,1005.4,-0.1,0.0,2.6,3-7-2013,2013-03-07,304.0,368.0
10134,Nongzhanguan,3,7,2013,490.0,535.0,160.0,273.0,7200.0,102.0,19.5,1009.2,0.2,0.0,3.2,3-7-2013,2013-03-07,431.0,493.0
3134,Dingling,3,8,2013,410.0,631.0,83.0,142.0,4900.0,107.0,21.9,997.9,1.5,0.0,5.2,3-8-2013,2013-03-08,501.0,440.0
265,Aotizhongxin,3,8,2013,344.0,508.0,144.0,195.0,5200.0,84.0,22.5,1001.1,1.4,0.0,4.5,3-8-2013,2013-03-08,404.0,394.0
4496,Dongsi,3,8,2013,488.0,518.0,115.0,241.0,6000.0,107.0,21.7,1002.6,0.8,0.0,5.1,3-8-2013,2013-03-08,414.0,492.0
7269,Gucheng,3,8,2013,273.0,542.0,87.0,239.0,5900.0,107.0,22.4,999.1,1.1,0.0,4.7,3-8-2013,2013-03-08,438.0,323.0
14387,Wanliu,3,8,2013,350.0,476.0,132.0,192.0,10000.0,68.0,22.5,1001.1,1.4,0.0,4.5,3-8-2013,2013-03-08,365.0,400.0
12965,Tiantan,3,8,2013,456.0,442.0,105.0,189.0,8199.0,107.0,21.7,1002.6,0.8,0.0,5.1,3-8-2013,2013-03-08,322.0,471.0
1692,Changping,3,8,2013,443.0,653.0,83.0,141.0,6299.0,107.0,21.9,997.9,1.5,0.0,5.2,3-8-2013,2013-03-08,501.0,462.0
11585,Shunyi,3,8,2013,558.0,668.0,117.0,168.0,6099.0,98.0,20.0,1003.5,1.6,0.0,6.7,3-8-2013,2013-03-08,501.0,501.0
10138,Nongzhanguan,3,8,2013,493.0,500.0,116.0,223.0,5700.0,102.0,21.7,1002.6,0.8,0.0,5.1,3-8-2013,2013-03-08,395.0,495.0
8693,Huairou,3,8,2013,534.0,835.0,159.0,184.0,8000.0,107.0,20.3,997.9,1.7,0.0,5.2,3-8-2013,2013-03-08,501.0,501.0
5852,Guanyuan,3,8,2013,358.0,501.0,118.0,214.0,6500.0,107.0,22.5,1001.1,1.4,0.0,4.5,3-8-2013,2013-03-08,396.0,406.0
15775,Wanshouxigong,3,8,2013,421.0,460.0,118.0,198.0,8300.0,94.0,22.9,1000.2,1.1,0.0,4.6,3-8-2013,2013-03-08,345.0,448.0
14391,Wanliu,3,9,2013,149.0,829.0,84.0,83.0,3500.0,69.0,16.7,1021.3,-0.4,0.0,7.7,3-9-2013,2013-03-09,501.0,199.0
15779,Wanshouxigong,3,9,2013,141.0,961.0,98.0,89.0,2700.0,86.0,18.0,1020.4,-0.8,0.0,13.2,3-9-2013,2013-03-09,501.0,195.0
11589,Shunyi,3,9,2013,127.0,764.0,88.0,91.0,2600.0,90.0,16.3,1003.6,-2.9,0.0,12.8,3-9-2013,2013-03-09,501.0,188.0
269,Aotizhongxin,3,9,2013,145.0,662.0,122.0,97.0,2600.0,82.0,16.7,1021.3,-0.4,0.0,7.7,3-9-2013,2013-03-09,501.0,197.0
1696,Changping,3,9,2013,142.0,595.0,86.0,91.0,2200.0,107.0,16.8,1018.1,-1.5,0.0,7.8,3-9-2013,2013-03-09,491.0,196.0
3138,Dingling,3,9,2013,194.0,610.0,63.0,55.0,1399.0,107.0,16.8,1018.0,-1.5,0.0,7.8,3-9-2013,2013-03-09,501.0,244.0
7273,Gucheng,3,9,2013,110.0,983.0,57.0,103.0,2200.0,106.0,17.9,1019.4,-1.4,0.0,6.9,3-9-2013,2013-03-09,501.0,179.0
8697,Huairou,3,9,2013,126.0,490.0,133.0,92.0,2200.0,107.0,16.6,1018.0,-2.8,0.0,12.9,3-9-2013,2013-03-09,382.0,187.0
10142,Nongzhanguan,3,9,2013,130.0,811.0,88.0,109.0,3799.0,94.0,17.3,1023.4,-1.8,0.0,9.2,3-9-2013,2013-03-09,501.0,189.0
5856,Guanyuan,3,9,2013,125.0,987.0,86.0,98.0,2299.0,104.0,16.7,1021.3,-0.4,0.0,7.9,3-9-2013,2013-03-09,501.0,187.0
4500,Dongsi,3,9,2013,151.0,602.0,92.0,125.0,3000.0,99.0,17.3,1023.4,-1.8,0.0,8.8,3-9-2013,2013-03-09,498.0,201.0
12969,Tiantan,3,9,2013,141.0,839.0,86.0,86.0,2799.0,92.0,17.3,1023.4,-1.8,0.0,8.8,3-9-2013,2013-03-09,501.0,195.0
11593,Shunyi,3,10,2013,111.0,141.0,55.0,91.0,1300.0,68.0,12.2,1024.9,-10.2,0.0,5.0,3-10-2013,2013-03-10,94.0,180.0
3142,Dingling,3,10,2013,63.0,91.0,19.0,32.0,700.0,100.0,12.1,1019.8,-12.3,0.0,4.2,3-10-2013,2013-03-10,69.0,155.0
10146,Nongzhanguan,3,10,2013,79.0,108.0,47.0,91.0,1300.0,95.0,11.4,1025.5,-11.9,0.0,5.2,3-10-2013,2013-03-10,77.0,163.0
15783,Wanshouxigong,3,10,2013,87.0,110.0,41.0,78.0,1800.0,85.0,11.2,1023.1,-10.0,0.0,4.6,3-10-2013,2013-03-10,78.0,167.0
7277,Gucheng,3,10,2013,110.0,172.0,54.0,107.0,1399.0,103.0,11.7,1021.7,-10.3,0.0,3.6,3-10-2013,2013-03-10,109.0,179.0
4504,Dongsi,3,10,2013,86.0,139.0,41.0,88.0,2200.0,97.0,11.4,1025.4,-11.9,0.0,5.2,3-10-2013,2013-03-10,93.0,167.0
1700,Changping,3,10,2013,95.0,131.0,58.0,81.0,1300.0,103.0,12.1,1019.8,-12.3,0.0,4.2,3-10-2013,2013-03-10,89.0,171.0
14395,Wanliu,3,10,2013,101.0,155.0,48.0,89.0,1399.0,69.0,11.4,1023.5,-9.0,0.0,5.2,3-10-2013,2013-03-10,101.0,174.0
8701,Huairou,3,10,2013,101.0,142.0,86.0,104.0,1500.0,95.0,12.6,1020.2,-10.7,0.0,4.1,3-10-2013,2013-03-10,94.0,174.0
5860,Guanyuan,3,10,2013,85.0,139.0,57.0,91.0,1300.0,96.0,11.4,1023.5,-9.0,0.0,5.2,3-10-2013,2013-03-10,93.0,166.0
12973,Tiantan,3,10,2013,98.0,133.0,43.0,89.0,1500.0,97.0,11.4,1025.5,-11.9,0.0,5.2,3-10-2013,2013-03-10,90.0,173.0
273,Aotizhongxin,3,10,2013,81.0,140.0,46.0,84.0,1500.0,84.0,11.4,1023.5,-9.0,0.0,5.2,3-10-2013,2013-03-10,93.0,164.0
277,Aotizhongxin,3,11,2013,174.0,253.0,161.0,124.0,2600.0,84.0,11.4,1018.5,-2.7,0.0,3.5,3-11-2013,2013-03-11,150.0,224.0
1704,Changping,3,11,2013,174.0,233.0,164.0,118.0,2299.0,103.0,10.0,1015.2,-3.4,0.0,2.2,3-11-2013,2013-03-11,140.0,224.0
11597,Shunyi,3,11,2013,161.0,204.0,162.0,98.0,2399.0,68.0,11.6,1021.1,-2.6,0.0,3.4,3-11-2013,2013-03-11,125.0,211.0
3146,Dingling,3,11,2013,175.0,222.0,131.0,108.0,1899.0,100.0,10.0,1015.2,-3.4,0.0,2.2,3-11-2013,2013-03-11,134.0,225.0
10150,Nongzhanguan,3,11,2013,154.0,204.0,156.0,110.0,2000.0,95.0,11.8,1020.5,-3.3,0.0,3.7,3-11-2013,2013-03-11,125.0,204.0
5864,Guanyuan,3,11,2013,176.0,251.0,189.0,129.0,2700.0,96.0,11.4,1018.5,-2.7,0.0,3.5,3-11-2013,2013-03-11,149.0,226.0
4508,Dongsi,3,11,2013,178.0,229.0,198.0,116.0,1899.0,97.0,11.8,1020.5,-3.3,0.0,3.7,3-11-2013,2013-03-11,138.0,228.0
7281,Gucheng,3,11,2013,219.0,307.0,192.0,144.0,3000.0,103.0,10.8,1016.7,-3.5,0.0,2.6,3-11-2013,2013-03-11,177.0,269.0
14399,Wanliu,3,11,2013,205.0,279.0,158.0,112.0,3100.0,65.0,11.4,1018.5,-2.7,0.0,3.5,3-11-2013,2013-03-11,163.0,255.0
8705,Huairou,3,11,2013,208.0,246.0,160.0,119.0,2799.0,79.0,10.6,1015.5,-4.2,0.0,2.4,3-11-2013,2013-03-11,146.0,258.0
15787,Wanshouxigong,3,11,2013,191.0,251.0,177.0,111.0,2899.0,85.0,11.1,1017.9,-4.1,0.0,2.8,3-11-2013,2013-03-11,149.0,241.0
12977,Tiantan,3,11,2013,183.0,210.0,154.0,105.0,2000.0,97.0,11.8,1020.5,-3.3,0.0,3.7,3-11-2013,2013-03-11,128.0,233.0
1708,Changping,3,12,2013,210.0,193.0,74.0,102.0,2799.0,68.0,8.3,1015.1,3.3,1.5,2.3,3-12-2013,2013-03-12,120.0,260.0
7285,Gucheng,3,12,2013,167.0,243.0,64.0,118.0,2600.0,53.0,7.6,1015.6,3.0,1.3,2.1,3-12-2013,2013-03-12,145.0,217.0
15791,Wanshouxigong,3,12,2013,152.0,194.0,71.0,80.0,2700.0,47.0,7.3,1016.6,3.8,2.0,2.8,3-12-2013,2013-03-12,120.0,202.0
5868,Guanyuan,3,12,2013,153.0,217.0,70.0,99.0,2700.0,53.0,6.6,1017.7,3.4,0.9,2.2,3-12-2013,2013-03-12,132.0,203.0
11601,Shunyi,3,12,2013,155.0,176.0,83.0,84.0,2000.0,56.0,7.0,1020.3,3.6,1.2,3.6,3-12-2013,2013-03-12,111.0,205.0
10154,Nongzhanguan,3,12,2013,166.0,186.0,79.0,101.0,2799.0,65.0,7.8,1019.5,3.8,2.6,2.5,3-12-2013,2013-03-12,116.0,216.0
281,Aotizhongxin,3,12,2013,160.0,237.0,68.0,91.0,2100.0,47.0,6.6,1017.7,3.4,0.9,1.8,3-12-2013,2013-03-12,142.0,210.0
8709,Huairou,3,12,2013,169.0,204.0,56.0,103.0,1800.0,70.0,7.1,1014.5,3.3,0.8,4.7,3-12-2013,2013-03-12,125.0,219.0
12981,Tiantan,3,12,2013,150.0,182.0,65.0,81.0,2600.0,61.0,7.8,1019.5,3.8,2.6,2.5,3-12-2013,2013-03-12,114.0,200.0
14403,Wanliu,3,12,2013,179.0,233.0,51.0,127.0,3500.0,30.0,6.6,1017.7,3.4,0.9,1.6,3-12-2013,2013-03-12,140.0,229.0
3150,Dingling,3,12,2013,221.0,195.0,78.0,102.0,2399.0,81.0,8.3,1015.1,3.3,1.5,2.3,3-12-2013,2013-03-12,121.0,271.0
4512,Dongsi,3,12,2013,158.0,166.0,56.0,104.0,2000.0,57.0,7.8,1019.5,3.8,2.6,2.5,3-12-2013,2013-03-12,106.0,208.0
4516,Dongsi,3,13,2013,44.0,59.0,32.0,59.0,1100.0,84.0,8.3,1027.5,-4.8,0.0,4.0,3-13-2013,2013-03-13,53.0,122.0
15795,Wanshouxigong,3,13,2013,55.0,86.0,32.0,68.0,1200.0,75.0,9.0,1024.4,-4.4,0.0,4.0,3-13-2013,2013-03-13,66.0,149.0
12985,Tiantan,3,13,2013,51.0,77.0,26.0,57.0,1000.0,83.0,8.3,1027.5,-4.8,0.0,4.0,3-13-2013,2013-03-13,62.0,139.0
285,Aotizhongxin,3,13,2013,42.0,59.0,35.0,74.0,800.0,77.0,9.7,1025.2,-5.5,0.0,3.9,3-13-2013,2013-03-13,53.0,117.0
14407,Wanliu,3,13,2013,91.0,159.0,29.0,117.0,1899.0,68.0,9.7,1025.2,-5.5,0.0,3.9,3-13-2013,2013-03-13,103.0,169.0
8713,Huairou,3,13,2013,39.0,59.0,27.0,54.0,800.0,90.0,7.7,1022.2,-6.8,0.0,6.8,3-13-2013,2013-03-13,53.0,110.0
1712,Changping,3,13,2013,50.0,64.0,37.0,75.0,1000.0,92.0,10.0,1022.0,-9.3,0.0,4.3,3-13-2013,2013-03-13,55.0,137.0
7289,Gucheng,3,13,2013,88.0,102.0,21.0,105.0,1800.0,86.0,8.5,1023.0,-6.7,0.0,3.4,3-13-2013,2013-03-13,74.0,168.0
5872,Guanyuan,3,13,2013,42.0,51.0,38.0,81.0,800.0,82.0,9.7,1025.2,-5.5,0.0,3.9,3-13-2013,2013-03-13,47.0,117.0
11605,Shunyi,3,13,2013,68.0,80.0,36.0,93.0,1100.0,83.0,7.8,1028.4,-4.0,0.0,4.1,3-13-2013,2013-03-13,63.0,157.0
3154,Dingling,3,13,2013,35.0,58.0,8.0,29.0,600.0,89.0,10.0,1021.8,-9.3,0.0,4.3,3-13-2013,2013-03-13,52.0,99.0
10158,Nongzhanguan,3,13,2013,83.0,59.0,42.0,78.0,1300.0,93.0,8.3,1027.5,-4.8,0.0,4.0,3-13-2013,2013-03-13,53.0,165.0
14411,Wanliu,3,14,2013,171.0,210.0,116.0,128.0,2100.0,68.0,9.9,1024.9,-1.8,0.0,3.8,3-14-2013,2013-03-14,128.0,221.0
5876,Guanyuan,3,14,2013,162.0,173.0,114.0,102.0,2100.0,82.0,9.9,1024.9,-1.8,0.0,3.8,3-14-2013,2013-03-14,110.0,212.0
12989,Tiantan,3,14,2013,126.0,147.0,118.0,95.0,1800.0,83.0,9.8,1026.8,-3.3,0.0,4.3,3-14-2013,2013-03-14,97.0,187.0
10162,Nongzhanguan,3,14,2013,145.0,154.0,118.0,112.0,2100.0,93.0,9.8,1026.9,-3.3,0.0,4.3,3-14-2013,2013-03-14,100.0,197.0
11609,Shunyi,3,14,2013,142.0,150.0,94.0,104.0,1600.0,83.0,9.9,1027.8,-3.3,0.0,3.8,3-14-2013,2013-03-14,98.0,196.0
289,Aotizhongxin,3,14,2013,162.0,179.0,116.0,102.0,1700.0,77.0,9.9,1024.9,-1.8,0.0,3.8,3-14-2013,2013-03-14,113.0,212.0
