,CO
554,500.0
555,2300.0
558,1900.0
561,2400.0
564,2700.0
565,1000.0
568,3000.0
569,1300.0
572,1800.0
573,1300.0
576,2899.0
577,900.0
580,1500.0
581,700.0
584,1500.0
585,900.0
588,500.0
589,1500.0
592,1100.0
593,2500.0
596,1300.0
597,3300.0
600,1000.0
601,1000.0
604,2700.0
605,800.0
608,1700.0
609,1000.0
612,2299.0
613,1100.0
616,2500.0
617,1200.0
620,3000.0
621,2700.0
624,2700.0
625,800.0
628,3200.0
629,1600.0
632,2600.0
633,900.0
636,900.0
637,1700.0
640,800.0
641,1800.0
644,1399.0
645,900.0
648,2299.0
649,1400.0
652,1300.0
653,1000.0
656,2000.0
657,2200.0
660,2899.0
661,1000.0
664,1399.0
665,1800.0
668,1000.0
669,900.0
672,1700.0
673,2400.0
676,500.0
677,1600.0
680,1300.0
683,700.0
686,800.0
689,1000.0
692,1500.0
695,1600.0
698,1000.0
701,3399.0
702,1600.0
705,2700.0
706,2400.0
709,3399.0
710,1800.0
713,2799.0
714,1500.0
717,2399.0
718,1300.0
721,900.0
722,1500.0
725,700.0
726,1800.0
729,700.0
730,1700.0
733,1300.0
734,1700.0
737,1500.0
738,1400.0
741,1200.0
742,1600.0
745,1300.0
746,1100.0
749,700.0
750,800.0
753,800.0
754,700.0
757,1100.0
758,700.0
761,2000.0
762,800.0
765,1800.0
766,700.0
769,2100.0
770,600.0
773,1200.0
774,1600.0
777,1000.0
778,2800.0
781,2300.0
782,3000.0
785,1100.0
786,600.0
789,1200.0
790,900.0
793,1100.0
794,600.0
797,1500.0
798,900.0
801,1000.0
802,900.0
805,900.0
806,1700.0
809,1800.0
810,2100.0
813,2400.0
814,1300.0
817,1700.0
818,1500.0
821,2800.0
822,1100.0
825,1400.0
826,800.0
829,1300.0
830,2000.0
833,900.0
834,1800.0
837,1100.0
838,2200.0
841,1200.0
842,1000.0
845,500.0
846,1100.0
849,900.0
850,900.0
853,700.0
854,600.0
857,1300.0
858,800.0
861,700.0
862,1700.0
865,800.0
866,1500.0
869,700.0
870,1500.0
873,1400.0
874,900.0
877,2300.0
878,800.0
881,800.0
882,800.0
885,1100.0
886,700.0
889,1000.0
890,700.0
893,1800.0
894,900.0
897,3300.0
898,1200.0
901,1700.0
902,1300.0
905,900.0
906,1100.0
909,900.0
910,1300.0
913,2000.0
914,1300.0
917,1400.0
918,1600.0
921,1600.0
922,1400.0
925,1500.0
926,1400.0
929,1100.0
930,700.0
933,1000.0
934,1200.0
937,2300.0
938,1600.0
941,2000.0
942,1100.0
945,3300.0
946,1400.0
949,400.0
950,1300.0
953,600.0
954,2400.0
957,600.0
958,1400.0
961,1400.0
962,2900.0
965,1500.0
966,1600.0
969,1700.0
970,1000.0
973,1200.0
974,1000.0
977,1300.0
978,1600.0
981,2300.0
982,2300.0
985,2500.0
986,1800.0
989,3000.0
990,700.0
993,1700.0
994,1200.0
997,1300.0
998,1500.0
1001,1400.0
1002,2000.0
1005,2300.0
1006,1300.0
1009,1900.0
1010,1600.0
1013,1600.0
1014,800.0
1017,800.0
1018,800.0
1021,1400.0
1022,900.0
1025,2600.0
1026,800.0
1029,3600.0
1030,700.0
1033,2299.0
1034,1500.0
1037,1700.0
1038,1700.0
1041,1200.0
1042,2300.0
1045,3000.0
1046,3400.0
1049,3300.0
1050,2000.0
1053,800.0
1054,1700.0
1057,700.0
1058,1800.0
1061,1700.0
1062,2300.0
1065,2300.0
1066,1500.0
1069,1900.0
1070,2300.0
1073,1900.0
1074,1500.0
1077,2100.0
1078,800.0
1081,2200.0
1082,1300.0
1085,500.0
1086,1600.0
1089,2800.0
1090,3000.0
1093,3400.0
1094,2800.0
1097,2900.0
1098,1100.0
1101,2900.0
1102,800.0
1105,2300.0
1106,2100.0
1109,1400.0
1110,3100.0
1113,1900.0
1114,2600.0
1117,1700.0
1118,2100.0
1121,2700.0
1124,1300.0
1127,1400.0
1128,800.0
1131,1100.0
1132,1000.0
1135,800.0
1136,1000.0
1139,1300.0
1140,1000.0
1143,1800.0
1144,3700.0
1147,3000.0
1148,4600.0
1151,2500.0
1152,4200.0
1155,900.0
1156,2100.0
1159,1100.0
1160,2500.0
1163,1100.0
1164,2200.0
1167,800.0
1168,2800.0
1171,600.0
1172,3400.0
1175,1600.0
1176,3700.0
1179,2100.0
1180,3000.0
1183,3600.0
1184,1400.0
1187,5900.0
1188,1600.0
1191,5300.0
1192,2900.0
1195,1900.0
1196,2600.0
1199,2200.0
1200,3000.0
1203,1900.0
1204,3300.0
1207,2300.0
1208,500.0
1211,600.0
1212,1800.0
1215,1300.0
1216,3000.0
1219,1900.0
1220,3000.0
1223,2400.0
1224,1000.0
1227,2400.0
1228,1700.0
1231,2300.0
1234,1200.0
1235,1800.0
1238,700.0
1239,1900.0
1242,900.0
1243,2400.0
1246,2100.0
1247,500.0
1250,4500.0
1251,1600.0
1254,700.0
1255,1600.0
1258,2000.0
1259,3900.0
1262,3600.0
1263,4100.0
1266,600.0
1267,1300.0
1270,600.0
1271,2500.0
1274,1000.0
1275,6000.0
1278,1200.0
1279,6500.0
1282,4500.0
1283,5300.0
1286,5000.0
1287,2600.0
1290,5600.0
1291,3200.0
1294,6400.0
1295,4800.0
1298,1600.0
1299,3700.0
1302,3100.0
1303,5200.0
1306,400.0
1307,5500.0
1310,2000.0
1311,2800.0
1314,3700.0
1315,4800.0
1318,2400.0
1319,3500.0
1322,2200.0
1323,700.0
1326,5200.0
1327,2200.0
1330,5300.0
1331,3600.0
1334,4200.0
1335,600.0
1338,4100.0
1339,2400.0
1342,4700.0
1343,4400.0
1346,8900.0
1347,3000.0
1350,8100.0
1351,3100.0
1354,1100.0
1355,6900.0
1358,1600.0
1359,5900.0
1362,1500.0
1363,1200.0
1366,1500.0
1367,700.0
1370,1500.0
1371,2200.0
1374,900.0
1375,4400.0
1378,5900.0
1381,400.0
1384,1700.0
1389,2900.0
1392,3100.0
1395,2900.0
1398,5700.0
1401,5800.0
1404,7400.0
1407,7300.0
1410,800.0
1413,1000.0
1420,1900.0
1423,3100.0
1424,500.0
